,longitude,latitude,size,year,class_letter,name
0,-120.21166667,38.52333333,16823.0,2004,G,POWER
1,-120.26,38.78,7700.0,2004,G,FREDS
2,-81.59,36.00166667,125.0,2005,D,AUSTIN CREEK
3,-102.95472222,43.89916667,119.0,2005,D,THOMPSON BUTTE
4,-102.94805556,43.89277778,119.0,2005,D,CHARLES DRAW
5,-111.275,33.72333333,16100.0,2005,G,THREE
6,-118.43833333,35.68805556,1149.0,2005,F,NINE
7,-111.37972222,33.93361111,1300.0,2005,F,OAK
8,-111.0725,33.87111111,730.0,2005,E,GREENBACK
9,-111.15583333,33.8625,495.0,2005,E,SALOME
10,-111.10666667,33.55111111,2093.0,2005,F,TW0 BAR
11,-106.46055556,36.22361111,512.0,2005,E,MESA CAMINO
12,-104.18,45.74472222,236.0,2005,D,LAMPKIN
13,-92.61305556,31.24027778,390.0,2005,E,005 BOX
14,-106.35833333,45.30833333,1199.0,2005,F,SAWMILL GULCH
15,-115.185,48.83416667,800.0,2005,E,CAMP 32
16,-93.13611111,31.39194444,162.0,2005,D,010 EAST TAYLOR
17,-92.58583333,31.18888889,205.0,2005,D,017 MOTHERS DAY
18,-106.24166667,45.37083333,423.3,2005,E,PAGET
19,-92.83194444,31.80861111,270.0,2005,D,035 COOCHIE BRAKE
20,-108.10027778,33.21638889,170.0,2005,D,EAST FORK
21,-101.99333333,37.02472222,760.0,2005,E,BROTHER
22,-110.74972222,34.45722222,320.0,2005,E,LINE
23,-104.02555556,42.98361111,101.0,2005,D,PASTURE 1N
24,-102.58305556,36.97805556,780.0,2005,E,ECHO
25,-103.19777778,37.21722222,180.0,2005,D,DELTA
26,-92.88555556,36.67277778,180.0,2005,D,BLAIR RIDGE
27,-102.58805556,37.04083333,411.0,2005,E,BURROWS DRAW
28,-84.55138889,30.40083333,228.0,2005,D,HARVEY CREEK
29,-116.64,32.68194444,124.0,2005,D,BARRETT
30,-108.55888889,33.61333333,11936.0,2005,G,FORK
31,-82.55472222,30.19444444,400.0,2005,E,CRAIG
32,-103.86055556,37.74222222,245.0,2005,D,JACKS POINT
33,-111.81861111,45.06722222,317.0,2005,E,JOHNNY RIDGE
34,-91.10333333,37.62,146.09,2005,D,MINE
35,-91.08277778,37.96416667,387.29,2005,E,FOUR POINTS
36,-91.12,37.85805556,156.1,2005,D,TODD HOLLOW
37,-105.95527778,45.44833333,2700.0,2005,F,ERICKSON SPRING
38,-105.03805556,38.16972222,11357.0,2005,G,MASON
39,-94.48638889,34.76222222,121.0,2005,D,HAW CREEK
40,-102.72805556,37.11861111,206.0,2005,D,CHARLIE
41,-103.58861111,37.58361111,820.0,2005,E,BEATY CANYON
42,-102.34194444,37.54222222,595.0,2005,E,MOORE DRAW
43,-92.80055556,36.78083333,190.0,2005,D,AMOEBA
44,-94.1325,34.42277778,185.0,2005,D,SHORT CREEK FIRE
45,-92.28638889,37.58833333,101.87,2005,D,WINNIPEG
46,-91.89805556,37.63638889,592.0,2005,E,FREEMAN
47,-118.06777778,45.84083333,1977.0,2005,F,BURNT CABIN
48,-108.87138889,33.61138889,135.0,2005,D,WILLOW
49,-103.61777778,44.38472222,775.0,2005,E,CAMP FIVE
50,-103.39388889,44.19361111,3959.0,2005,F,RICCO
51,-104.17416667,44.37194444,3025.0,2005,F,CEMENT
52,-92.09083333,37.42944444,138.0,2005,D,SUCCESS
53,-92.41444444,37.53555556,107.0,2005,D,COBB
54,-118.74555556,45.16194444,150.0,2005,D,HIDAWAY
55,-104.05972222,37.68027778,995.0,2005,E,PLUM CANYON
56,-114.68777778,46.31555556,247.0,2005,D,CEDAR
57,-82.66972222,38.70666667,303.0,2005,E,BINION FIRE
58,-94.90972222,34.72194444,112.0,2005,D,RAMSEY
59,-113.55666667,45.25055556,495.0,2005,E,BERRY MEADOWS
60,-91.03,36.61083333,145.0,2005,D,REBEL
61,-91.31194444,36.97222222,107.0,2005,D,PRIVATE
62,-91.39166667,36.94027778,104.0,2005,D,BARNES CEMETERY
63,-122.88722222,39.16972222,775.0,2005,E,CLOVER
64,-118.38555556,35.39055556,191.0,2005,D,MACE
65,-94.65666667,34.08916667,110.0,2005,D,REREG #2
66,-120.68555556,41.72277778,104.0,2005,D,COUGAR
67,-84.58111111,36.77333333,117.0,2005,D,STALLION FORK
68,-114.09027778,43.77222222,600.0,2005,E,WILDHORSE
69,-91.38361111,36.91777778,198.0,2005,D,MARTIN SPRING
