,total_time,fire_size
0,14 days 19:45:00,16823.0
1,4 days 01:42:00,7700.0
2,8 days 04:00:00,16100.0
3,1 days 04:47:00,1149.0
4,4 days 00:40:00,1300.0
5,5 days 23:55:00,2093.0
6,4 days 03:00:00,1199.0
7,91 days 20:54:00,11936.0
8,9 days 20:25:00,2700.0
9,9 days 14:00:00,11357.0
10,27 days 23:51:00,1977.0
11,25 days 15:15:00,3959.0
12,4 days 04:00:00,3025.0
13,16 days 23:34:00,2643.0
14,12 days 05:30:00,1900.0
15,81 days 00:04:00,4004.0
16,52 days 00:45:00,2398.0
17,1 days 19:15:00,1335.0
18,50 days 23:00:00,7404.0
19,88 days 23:40:00,1777.5
20,92 days 16:24:00,1981.5
21,1 days 23:21:00,7892.0
22,20 days 21:39:00,1818.0
23,90 days 14:00:00,7244.4
24,75 days 17:32:00,4530.0
25,35 days 03:25:00,1859.0
26,15 days 22:02:00,2270.0
27,7 days 02:00:00,3875.0
28,56 days 16:40:00,52000.0
29,0 days 06:28:00,1180.3
30,90 days 21:48:00,1335.0
31,88 days 22:33:00,1067.0
32,66 days 00:16:00,20400.0
33,84 days 20:27:00,4010.0
34,83 days 16:41:00,1040.0
35,79 days 05:00:00,2000.0
36,1 days 22:30:00,1555.0
37,2 days 07:22:00,12855.0
38,7 days 02:49:00,1132.0
39,75 days 00:00:00,1182.0
40,0 days 01:15:00,3225.0
41,90 days 13:30:00,1086.0
42,77 days 18:59:00,11611.0
43,94 days 02:38:00,5722.0
44,84 days 12:40:00,4278.7
45,73 days 09:01:00,7260.0
46,70 days 03:24:00,1315.0
47,17 days 03:00:00,23183.0
48,25 days 02:54:00,40483.0
49,78 days 04:55:00,8580.0
50,83 days 01:09:00,1185.0
51,138 days 22:45:00,77000.0
52,90 days 16:10:00,13327.0
53,58 days 10:30:00,1708.0
54,26 days 16:10:00,6869.0
55,50 days 16:30:00,1400.0
56,0 days 12:00:00,1920.0
57,64 days 21:09:00,3200.0
58,0 days 05:00:00,2537.0
59,4 days 02:45:00,4384.92
60,149 days 17:54:00,3322.0
61,88 days 14:55:00,1349.0
62,104 days 01:00:00,2098.0
63,84 days 17:55:00,13866.0
64,81 days 21:40:00,9933.0
65,84 days 23:58:00,3933.0
66,91 days 18:55:00,6775.0
67,7 days 13:32:00,7962.0
68,8 days 20:00:00,3922.0
69,64 days 03:00:00,14772.0
70,7 days 03:26:00,2000.0
71,18 days 05:19:00,1400.0
72,8 days 02:30:00,1066.0
73,19 days 01:13:00,1445.0
74,5 days 07:57:00,1185.0
75,85 days 19:00:00,1150.0
76,0 days 09:39:00,1156.0
77,0 days 05:25:00,6080.0
78,6 days 01:58:00,2296.0
79,0 days 10:00:00,1100.0
80,10 days 08:15:00,1419.0
81,57 days 16:20:00,9082.0
82,57 days 16:22:00,1642.0
83,1 days 21:28:00,1027.0
84,10 days 23:54:00,5300.0
85,7 days 23:51:00,72000.0
86,7 days 17:01:00,3000.0
87,11 days 11:00:00,1056.0
88,9 days 01:30:00,8294.0
89,0 days 08:30:00,6343.0
90,7 days 09:00:00,427696.0
91,0 days 04:25:00,1000.0
92,2 days 01:00:00,2380.0
93,4 days 22:49:00,5091.0
94,49 days 16:00:00,1830.0
95,23 days 18:00:00,1701.0
96,11 days 03:47:00,2031.0
97,3 days 11:25:00,1248.0
98,3 days 17:23:00,3747.1
99,0 days 23:41:00,2500.0
100,4 days 01:45:00,6255.0
101,8 days 02:30:00,3162.0
102,17 days 01:40:00,6618.0
103,11 days 03:30:00,5216.0
104,8 days 22:00:00,5143.0
105,12 days 02:00:00,3075.0
106,5 days 05:47:00,3259.0
107,2 days 00:45:00,1500.0
108,112 days 04:44:00,4850.0
109,10 days 01:21:00,1925.0
110,3 days 07:00:00,1000.0
111,4 days 05:00:00,1000.0
112,5 days 05:15:00,3000.0
113,7 days 04:14:00,1499.0
114,9 days 04:30:00,2418.0
115,11 days 04:30:00,1497.0
116,2 days 08:00:00,1143.0
117,29 days 14:54:00,2329.0
118,18 days 04:22:00,5394.9
