,native,lat,long
0,BIA,66.583,-145.2526
1,BIA,61.266,-155.569
2,BIA,63.433,-143.1522
3,BIA,66.383,-143.6692
4,BIA,63.3497,-142.5689
5,BIA,65.8662,-149.7359
6,BIA,62.4326,-163.7857
7,BIA,66.6997,-143.9526
8,BIA,66.3497,-143.3026
9,BIA,66.1829,-147.5026
10,BIA,66.8327,-160.7361
11,BIA,34.0668,-97.3336
12,BIA,35.0001,-97.7503
13,BIA,34.3668,-96.5503
14,BIA,34.0334,-97.8003
15,BIA,34.2834,-96.4169
16,BIA,34.7501,-96.5003
17,BIA,34.2834,-96.4169
18,BIA,34.7331,-96.6336
19,BIA,34.3668,-96.8336
20,BIA,34.7334,-96.467
21,BIA,34.7334,-96.6336
22,BIA,35.8168,-94.6669
23,BIA,34.8001,-96.8003
24,BIA,34.8501,-97.5003
25,BIA,34.8001,-96.4503
26,BIA,34.7501,-96.5503
27,BIA,34.8668,-96.717
28,BIA,34.7834,-96.5503
29,BIA,34.7668,-96.617
30,BIA,34.9501,-96.8503
31,BIA,34.7334,-96.5836
32,BIA,34.6668,-96.867
33,BIA,34.7334,-96.5836
34,BIA,34.7668,-96.617
35,BIA,34.6334,-96.2836
36,BIA,34.6334,-96.0503
37,BIA,34.5168,-96.2169
38,BIA,34.5001,-96.2336
39,BIA,34.3834,-96.3336
40,BIA,34.9501,-96.467
41,BIA,34.6834,-96.1003
42,BIA,34.7834,-96.3669
43,BIA,34.6168,-96.0169
44,BIA,34.8668,-96.667
45,BIA,34.8168,-96.4836
46,BIA,34.3668,-97.1003
47,BIA,34.8834,-96.667
48,BIA,34.9001,-96.2003
49,BIA,34.9834,-96.5503
50,BIA,34.0668,-97.1336
51,BIA,35.1168,-96.367
52,BIA,34.8667,-96.8664
53,BIA,35.0001,-96.4503
54,BIA,34.0501,-97.117
55,BIA,35.0167,-96.667
56,BIA,34.8834,-96.6003
57,BIA,34.6501,-96.867
58,BIA,34.3001,-97.117
59,BIA,34.6001,-96.4169
60,BIA,34.1334,-97.2836
61,BIA,34.5834,-96.4169
62,BIA,35.2501,-96.367
63,BIA,35.0667,-96.767
64,BIA,35.0501,-96.6336
65,BIA,35.1668,-95.7669
66,BIA,34.4334,-96.3003
67,BIA,34.9001,-96.2003
68,BIA,34.2001,-97.2336
69,BIA,34.7334,-96.3669
70,BIA,34.3668,-96.3669
71,BIA,34.2001,-97.217
72,BIA,34.5168,-97.0336
73,BIA,35.1668,-96.3003
74,BIA,34.4143,-97.667
75,BIA,34.7501,-96.7503
76,BIA,34.5168,-97.2003
77,BIA,34.4001,-97.667
78,BIA,34.8001,-96.4503
79,BIA,34.7168,-96.717
80,BIA,34.6501,-96.8336
81,BIA,34.4834,-97.1503
82,BIA,34.7668,-96.4503
83,BIA,34.7501,-96.5503
84,BIA,33.9668,-96.7169
85,BIA,34.5501,-97.7336
86,BIA,34.8334,-97.3003
87,BIA,34.5168,-96.967
88,BIA,34.7834,-96.7003
89,BIA,33.9334,-96.7336
90,BIA,34.0004,-96.8172
